ANO_ELEICAO;SG_UF;DS_CARGO;TP_AGREMIACAO;DS_COMPOSICAO_COLIGACAO;NM_UE
2000;RS;PREFEITO;COLIGA플O;PPB / PDT ;NOVA BOA VISTA
2000;AL;PREFEITO;COLIGA플O;PTB / PL / PDT / PST / PRTB / PSD / PTN ;UNIAO DOS PALMARES
2000;TO;PREFEITO;COLIGA플O;PPB / PFL / PSC / PTB ;MONTE DO CARMO
2000;PR;PREFEITO;COLIGA플O;PPB / PTB / PSL / PSDB / PSB ;PIEN
2000;AM;PREFEITO;COLIGA플O;PPB / PDT / PTB / PMDB / PFL / PSDB / PT ;URUCARA
2000;CE;PREFEITO;COLIGA플O;PTB / PMDB / PSDB ;MAURITI
2000;CE;PREFEITO;COLIGA플O;PTB / PT;PACOTI
2000;MT;PREFEITO;COLIGA플O;PSDB / PTN / PMDB / PPB / PPS ;NOSSA SENHORA DO LIVRAMENTO
2000;MT;PREFEITO;COLIGA플O;PMDB / PSDB / PSB / PT / PPS ;POCONE
2000;MT;PREFEITO;COLIGA플O;PFL / PMDB ;SANTO ANTONIO DO LEVERGER
2000;MT;PREFEITO;COLIGA플O;PC do B / PT ;VARZEA GRANDE
2000;PE;PREFEITO;COLIGA플O;PDT / PTB / PMDB / PSL / PL / PSDB ;SURUBIM
2000;PE;PREFEITO;COLIGA플O;PL / PT / PMDB / PST / PSD;SAO JOSE DA COROA GRANDE
2000;PE;PREFEITO;COLIGA플O;PDT / PPS / PRP ;ITAMBE
2000;AM;PREFEITO;COLIGA플O;PFL / PSDC / PSDB / PL / PT / PTB / PST ;BENJAMIN CONSTANT
2000;PI;PREFEITO;COLIGA플O;PFL / PSDB / PMDB / PPB / PTB / PDT / PC do B / PPS ;SAO JULIAO
2000;PI;PREFEITO;COLIGA플O;PPB / PTB / PPS / PSDB ;REDENCAO DO GURGUEIA
2000;SC;PREFEITO;COLIGA플O;PL / PSDB / PTB / PPB ;COCAL DO SUL
2000;PE;PREFEITO;COLIGA플O;PSB / PPS / PSDB / PC do B / PT / PDT / PTB;SALGUEIRO
2000;PE;PREFEITO;COLIGA플O;PFL / PST / PPB / PMDB / PSDB ;SANHARO
2000;PE;PREFEITO;COLIGA플O;PDT / PMDB / PPS / PPB / PSB / PSDC / PT ;SANTA MARIA DA BOA VISTA
2000;PI;PREFEITO;COLIGA플O;PPB / PTB / PRTB ;PICOS
2000;PI;PREFEITO;COLIGA플O;PTB / PPS / PSDB;OEIRAS
2000;PI;PREFEITO;COLIGA플O;PFL / PSDB / PSC / PL / PSB ;PIRIPIRI
2000;RJ;PREFEITO;COLIGA플O;PSDB / PPS ;MAGE
2000;PI;PREFEITO;COLIGA플O;PDT / PMDB ;SAO BRAZ DO PIAUI
2000;GO;PREFEITO;COLIGA플O;PSC / PSD ;PALESTINA DE GOIAS
2000;GO;PREFEITO;COLIGA플O;PPS / PSDC / PT do B / PST;APARECIDA DE GOIANIA
2000;CE;PREFEITO;COLIGA플O;PPS / PFL / PSDC / PSB ;HORIZONTE
2000;PI;PREFEITO;COLIGA플O;PL / PPS ;ESPERANTINA
2000;PI;PREFEITO;COLIGA플O;PSDB / PL / PST / PPS ;CURRAIS
2000;RJ;PREFEITO;COLIGA플O;PHS / PPS / PSD / PT do B / PV ;PETROPOLIS
2000;CE;PREFEITO;COLIGA플O;PT / PSDB / PC do B / PSB ;ICAPUI
2000;MA;PREFEITO;COLIGA플O;PPB / PSDB / PSB / PDT;ITAIPAVA DO GRAJAU
2000;ES;PREFEITO;COLIGA플O;PFL / PDT / PL / PSDB ;AFONSO CLAUDIO
2000;ES;PREFEITO;COLIGA플O;PSDB / PMDB / PPB ;ALTO RIO NOVO
2000;SP;PREFEITO;COLIGA플O;PSDB / PV / PSB / PPS / PDT / PL;TAQUARITUBA
2000;MT;PREFEITO;COLIGA플O;PMDB / PSDB / PSB / PT / PPS ;POCONE
2000;SP;PREFEITO;COLIGA플O;PPS / PSB / PV / PSC / PSD / PT do B / PGT / PMN / PAN / PRONA;ITAQUAQUECETUBA
2000;SP;PREFEITO;COLIGA플O;PMDB / PC do B / PSDB / PRP;ITAQUAQUECETUBA
2000;SP;PREFEITO;COLIGA플O;PFL / PPB ;ITATINGA
2000;MT;PREFEITO;COLIGA플O;PSB / PSDB;ACORIZAL
2000;MT;PREFEITO;COLIGA플O;PSDB / PPB / PSB / PHS / PMN / PPS ;ALTO PARAGUAI
2000;MT;PREFEITO;COLIGA플O;PMDB / PFL ;SANTA CARMEM
2000;MS;PREFEITO;COLIGA플O;PFL / PSB / PTB / PSDB;SONORA
2000;PI;PREFEITO;COLIGA플O;PSDB / PSB / PTB ;PAULISTANA
2000;PI;PREFEITO;COLIGA플O;PPB / PMDB / PFL ;MONSENHOR HIPOLITO
2000;RJ;PREFEITO;COLIGA플O;PDT / PMN / PT / PSB / PPB / PTB ;NATIVIDADE
2000;RS;PREFEITO;COLIGA플O;PPB / PTB / PSDB;IRAI
2000;TO;PREFEITO;COLIGA플O;PFL / PPB ;AXIXA DO TOCANTINS
2000;TO;PREFEITO;COLIGA플O;PMDB / PPS / PSD;FORMOSO DO ARAGUAIA
2000;TO;PREFEITO;COLIGA플O;PPB / PFL / PMDB / PSDB / PPS / PT ;ITAGUATINS
2000;AL;PREFEITO;COLIGA플O;PMDB / PFL / PSDB / PT do B / PV / PHS / PSL / PPS / PSC / PSDC ;UNIAO DOS PALMARES
2000;CE;PREFEITO;COLIGA플O;PT / PSDB / PC do B / PSB ;ICAPUI
2000;CE;PREFEITO;COLIGA플O;PSDB / PSL / PPB ;TRAIRI
2000;MA;PREFEITO;COLIGA플O;PMDB / PT / PTB / PDT / PMN / PSD ;COROATA
2000;MA;PREFEITO;COLIGA플O;PMDB / PSDB / PSD / PRTB / PHS / PSC / PC do B / PT do B / PV / PAN / PSDC / PMN / PTN / PT ;SAO MATEUS DO MARANHAO
2000;AM;PREFEITO;COLIGA플O;PSB / PRTB ;MANAQUIRI
2000;RN;PREFEITO;COLIGA플O;PL / PFL / PMDB ;SAO VICENTE
2000;RN;PREFEITO;COLIGA플O;PPB / PDT / PMDB / PPS / PFL / PSB ;SEVERIANO MELO
2000;GO;PREFEITO;COLIGA플O;PL / PMDB ;APARECIDA DE GOIANIA
2000;CE;PREFEITO;COLIGA플O;PTB / PPS / PSD;ERERE
2000;SP;PREFEITO;COLIGA플O;PL / PPS;CAPAO BONITO
2000;PI;PREFEITO;COLIGA플O;PDT / PL / PFL / PPS / PSDB ;REGENERACAO
2000;PI;PREFEITO;COLIGA플O;PMDB / PTB / PDT / PSB / PV / PSDB ;SAO JOAO DO PIAUI
2000;MT;PREFEITO;COLIGA플O;PMDB / PDT / PT ;VILA RICA
2000;PA;PREFEITO;COLIGA플O;PL / PSB / PT do B / PC do B;SAO JOAO DE PIRABAS
2000;MS;PREFEITO;COLIGA플O;PSDB / PDT / PPS / PSB / PC do B;CAARAPO
